symptom ,Herb_id,P_value,FDR(BH),FDR(Bonferroni)
Back Pain Without Radiation Nos,SMHB00431,None,None,None
Back Pain With Radiation,SMHB00431,None,None,None
Hypovolemic Shock,SMHB00431,None,None,None
Otitis,SMHB00431,None,None,None
Burning Pain,SMHB00431,None,None,None
Bone Pain,SMHB00431,0.003459,0.016608,1
 Splitting Pain,SMHB00431,None,None,None
Furuncle,SMHB00431,None,None,None
Mumps,SMHB00431,0.005186,0.022802,1
Bronchial Asthma,SMHB00431,None,None,None
Furunculosis,SMHB00431,None,None,None
 Migratory Pain,SMHB00431,None,None,None
Stomach Cramps,SMHB00431,None,None,None
Ache,SMHB00431,None,None,None
Backache,SMHB00431,None,None,None
"Disorder Of Seventh Cranial Nerve, Nos",SMHB00431,None,None,None
Acquired Facial Neuropathies,SMHB00431,None,None,None
"Facial Neuropathies, Familial",SMHB00431,None,None,None
Geniculate Ganglionitis,SMHB00431,None,None,None
Tachypnea,SMHB00431,None,None,None
Pain Radiating,SMHB00431,None,None,None
Crushing Pain,SMHB00431,None,None,None
Extremity Paresthesia,SMHB00431,None,None,None
Heartburn,SMHB00431,None,None,None
Anal Sphincter Atony,SMHB00431,None,None,None
Poisoning By,SMHB00431,None,None,None
Multiple Sores On Skin,SMHB00431,0.012069,0.038774,1
Abdomen Distention,SMHB00432,None,None,None
Right Flank Pain,SMHB00432,0.000163,0.001407,1
 Physical Suffering,SMHB00432,None,None,None
Menstrual Cramp,SMHB00432,None,None,None
Polymenorrhea,SMHB00432,None,None,None
Flank Pain,SMHB00432,0.000163,0.001407,1
Renal Agenesis,SMHB00432,0.028992,0.057056,1
Amenorrhea,SMHB00432,None,None,None
Abdominal Pain,SMHB00432,None,None,None
Chest Pain,SMHB00432,0.003254,0.015864,1
Hematoma,SMHB00432,None,None,None
Hyperalgia,SMHB00432,None,None,None
Labor Preterm,SMHB00432,0.028992,0.057056,1
"Amenorrhea, Postpartum",SMHB00432,None,None,None
Libido Decreased,SMHB00432,None,None,None
Jaundice,SMHB00432,None,None,None
Pain,SMHB00432,None,None,None
Pneumatosis,SMHB00432,0.028992,0.057056,1
Menses Abnormal,SMHB00432,None,None,None
Boredom,SMHB00432,None,None,None
Burning Pain,SMHB00432,None,None,None
Abnormal Menstrual Cycle,SMHB00432,0.028992,0.057056,1
 Splitting Pain,SMHB00432,None,None,None
Abdomen Discomfort,SMHB00432,None,None,None
Enterocele,SMHB00432,None,None,None
Flatulence,SMHB00432,None,None,None
Premature Birth,SMHB00432,0.028992,0.057056,1
 Migratory Pain,SMHB00432,None,None,None
Chest Symptom Discomfort,SMHB00432,None,None,None
Hernia,SMHB00432,None,None,None
Breast Pain,SMHB00432,None,None,None
Oligomenorrhea,SMHB00432,None,None,None
Ache,SMHB00432,None,None,None
 Hypomenorrhea,SMHB00432,None,None,None
Breast Tenderness,SMHB00432,None,None,None
 name Dilation,SMHB00432,None,None,None
 Stomach Discomfort,SMHB00432,None,None,None
Left Flank Pain,SMHB00432,0.000163,0.001407,1
Bloating Feeling,SMHB00432,None,None,None
Pain Radiating,SMHB00432,None,None,None
Crushing Pain,SMHB00432,None,None,None
Menopause,SMHB00432,None,None,None
Retrograde Menstruation,SMHB00432,None,None,None
Chest Symptom Heaviness,SMHB00432,None,None,None
Chest Symptom Heaviness,SMHB00432,None,None,None
Decreased Appetite,SMHB00432,None,None,None
Abdomen Distention,SMHB00434,0.03204,0.060278,1
Sharp Headache,SMHB00434,None,None,None
Abdominal Tenderness,SMHB00434,0.00952,0.03422,1
 Physical Suffering,SMHB00434,None,None,None
Catarrh,SMHB00434,None,None,None
"Headache, Periorbital",SMHB00434,None,None,None
Bilateral Headache,SMHB00434,None,None,None
Ocular Headache,SMHB00434,None,None,None
Soft Tissue Injury,SMHB00434,8.70E-05,0.000842,1
Anasarca,SMHB00434,None,None,None
Abdominal Pain,SMHB00434,None,None,None
Headache Throbbing,SMHB00434,None,None,None
Edema,SMHB00434,None,None,None
Hyperalgia,SMHB00434,None,None,None
Febrile Illness Acute,SMHB00434,None,None,None
Diarrhea,SMHB00434,None,None,None
Orthostatic Headache,SMHB00434,None,None,None
Induration Of Breast,SMHB00434,None,None,None
Pain,SMHB00434,None,None,None
Micturition Disorder,SMHB00434,None,None,None
Burning Pain,SMHB00434,None,None,None
"Diarrhea, Chronic",SMHB00434,0.0283,0.05602,1
 Splitting Pain,SMHB00434,None,None,None
Abdomen Discomfort,SMHB00434,0.001268,0.007351,1
Diarrhea Acute,SMHB00434,0.00952,0.03422,1
 Migratory Pain,SMHB00434,None,None,None
Diarrhea Watery,SMHB00434,0.00952,0.03422,1
Coryza,SMHB00434,None,None,None
Ache,SMHB00434,None,None,None
 Generalised Headache,SMHB00434,None,None,None
Pain Radiating,SMHB00434,None,None,None
Crushing Pain,SMHB00434,None,None,None
Vertex Headache,SMHB00434,None,None,None
"Headache, Retro-Ocular",SMHB00434,None,None,None
Common Cold,SMHB00434,None,None,None
Anhidrosis,SMHB00434,None,None,None
Chills And Fever,SMHB00434,None,None,None
Anhidrosis,SMHB00434,None,None,None
Chills And Fever,SMHB00434,None,None,None
Smarting,SMHB00434,None,None,None
Typhoid Fever,SMHB00434,None,None,None
General Abdominal Pain-Symptom,SMHB00434,0.00952,0.03422,1
"Headache, Dull",SMHB00434,None,None,None
Headache Unilateral,SMHB00434,None,None,None
Headache,SMHB00434,None,None,None
Fever,SMHB00434,None,None,None
Body Pain,SMHB00434,0.000513,0.003585,1
Sharp Headache,SMHB00435,None,None,None
Blanching Of Skin,SMHB00435,0.021203,0.04873,1
Abdominal Tenderness,SMHB00435,0.021203,0.04873,1
 Physical Suffering,SMHB00435,None,None,None
Heaviness Of Head,SMHB00435,0.041965,0.070815,1
Catarrh,SMHB00435,None,None,None
"Headache, Periorbital",SMHB00435,None,None,None
Bilateral Headache,SMHB00435,None,None,None
Ocular Headache,SMHB00435,None,None,None
Anasarca,SMHB00435,None,None,None
Dysuria,SMHB00435,0.000688,0.0045,1
Abdominal Pain,SMHB00435,None,None,None
Headache Throbbing,SMHB00435,None,None,None
Edema,SMHB00435,None,None,None
Hyperalgia,SMHB00435,None,None,None
Radiculopathy,SMHB00435,0.021203,0.04873,1
Febrile Illness Acute,SMHB00435,None,None,None
Diarrhea,SMHB00435,None,None,None
Orthostatic Headache,SMHB00435,None,None,None
Nerve Root Disorder,SMHB00435,0.021203,0.04873,1
Pain,SMHB00435,None,None,None
Micturition Disorder,SMHB00435,None,None,None
Burning Pain,SMHB00435,None,None,None
 Splitting Pain,SMHB00435,None,None,None
"Neuralgia, Sluder",SMHB00435,0.021203,0.04873,1
Cervical Radiculopathy,SMHB00435,0.021203,0.04873,1
Trigeminal Autonomic Cephalgia,SMHB00435,0.021203,0.04873,1
Thirst,SMHB00435,None,None,None
 Migratory Pain,SMHB00435,None,None,None
Nerve Root Pain,SMHB00435,0.021203,0.04873,1
Neuralgia Facial,SMHB00435,0.021203,0.04873,1
Coryza,SMHB00435,None,None,None
Ache,SMHB00435,None,None,None
 Generalised Headache,SMHB00435,None,None,None
Prostatism,SMHB00435,0.021203,0.04873,1
"Avulsion, Nerve Root",SMHB00435,0.021203,0.04873,1
Metrorrhagia,SMHB00435,None,None,None
Cardiac Arrhythmia,SMHB00435,None,None,None
Pain Radiating,SMHB00435,None,None,None
Crushing Pain,SMHB00435,None,None,None
Vertex Headache,SMHB00435,None,None,None
"Headache, Retro-Ocular",SMHB00435,None,None,None
Common Cold,SMHB00435,None,None,None
Compression Nerve Root,SMHB00435,0.021203,0.04873,1
Anhidrosis,SMHB00435,None,None,None
Chills And Fever,SMHB00435,None,None,None
Anhidrosis,SMHB00435,None,None,None
Chills And Fever,SMHB00435,None,None,None
Typhoid Fever,SMHB00435,None,None,None
General Abdominal Pain-Symptom,SMHB00435,0.021203,0.04873,1
"Headache, Dull",SMHB00435,None,None,None
Headache Unilateral,SMHB00435,None,None,None
Radiculitis,SMHB00435,0.021203,0.04873,1
Tenderness,SMHB00435,0.041965,0.070815,1
Myofacial Pain Syndrome,SMHB00435,0.021203,0.04873,1
Headache,SMHB00435,None,None,None
Fever,SMHB00435,None,None,None
Abdomen Distention,SMHB00436,None,None,None
Right Flank Pain,SMHB00436,2.40E-05,0.000288,0.588825
 Physical Suffering,SMHB00436,None,None,None
Cough Productive,SMHB00436,None,None,None
Gastric Disorder,SMHB00436,0.041118,0.069718,1
Vomiting Neonatal,SMHB00436,0.02077,0.04839,1
"Sputums, Induced",SMHB00436,None,None,None
Catarrh,SMHB00436,None,None,None
Flank Pain,SMHB00436,2.40E-05,0.000288,0.588825
Abdominal Pain,SMHB00436,None,None,None
Chest Pain,SMHB00436,0.001235,0.007197,1
Hyperalgia,SMHB00436,None,None,None
Rhinorrhea,SMHB00436,None,None,None
Emesis,SMHB00436,None,None,None
Pain,SMHB00436,None,None,None
Cough,SMHB00436,None,None,None
Burning Pain,SMHB00436,None,None,None
 Splitting Pain,SMHB00436,None,None,None
Abdomen Discomfort,SMHB00436,0.00601,0.025431,1
Abdomen Bloating,SMHB00436,0.00601,0.025431,1
Sputum,SMHB00436,None,None,None
 Migratory Pain,SMHB00436,None,None,None
Chest Symptom Discomfort,SMHB00436,None,None,None
Coryza,SMHB00436,None,None,None
Ache,SMHB00436,None,None,None
 Stomach Discomfort,SMHB00436,None,None,None
Left Flank Pain,SMHB00436,2.40E-05,0.000288,0.588825
Belching,SMHB00436,None,None,None
Bloating Feeling,SMHB00436,None,None,None
Gagging,SMHB00436,None,None,None
Pain Radiating,SMHB00436,None,None,None
Crushing Pain,SMHB00436,None,None,None
Common Cold,SMHB00436,None,None,None
Cough Persistent,SMHB00436,0.00601,0.025431,1
Sputum Purulent,SMHB00436,None,None,None
Abdomen Distention,SMHB00430,None,None,None
Deglutitional Syncope,SMHB00430,None,None,None
Pharyngolaryngitis,SMHB00430,0.027508,0.055251,1
Alopecia,SMHB00430,None,None,None
Alopecia Cicatrisata,SMHB00430,None,None,None
Larynx,SMHB00430,0.00181,0.009889,1
Right Flank Pain,SMHB00430,None,None,None
Laryngopharyngeal Dysaesthesia,SMHB00430,4.70E-05,0.000505,1
Localized; Swelling,SMHB00430,0.002692,0.013583,1
Presyncope,SMHB00430,None,None,None
Laryngeal Pain,SMHB00430,0.013847,0.040951,1
Flank Pain,SMHB00430,None,None,None
Stokes-Adams Syncope,SMHB00430,None,None,None
Soft Tissue Injury,SMHB00430,0.000186,0.001576,1
Laryngeal Edema,SMHB00430,0.013847,0.040951,1
Abdominal Pain,SMHB00430,None,None,None
Syncope Cough,SMHB00430,None,None,None
"Melena
",SMHB00430,0.000186,0.001576,1
Hyperventilation Syncope,SMHB00430,None,None,None
Smarting Of Skin,SMHB00430,0.013847,0.040951,1
Hematoma,SMHB00430,0.027508,0.055251,1
Hemorrhage Within 24 Hours Following Delivery Of Placenta,SMHB00430,None,None,None
Skin Pain,SMHB00430,0.013847,0.040951,1
Syncope Exertional,SMHB00430,None,None,None
Syncope Cardiac,SMHB00430,None,None,None
Syncope Postural,SMHB00430,None,None,None
Skin Swelling,SMHB00430,0.027508,0.055251,1
Syncopal Vertigo,SMHB00430,None,None,None
Convulsive Syncope,SMHB00430,None,None,None
Lassitude,SMHB00430,None,None,None
Hemorrhage Postpartum,SMHB00430,None,None,None
Carotid Sinus Syncope,SMHB00430,None,None,None
Ache,SMHB00430,0.03922,0.067979,1
Syncope Micturition,SMHB00430,None,None,None
Pharynx Disease,SMHB00430,0.027508,0.055251,1
Hemorrhage After First 24 Hours Following Delivery Of Placenta,SMHB00430,None,None,None
Tonsillitis,SMHB00430,0.027508,0.055251,1
 Stomach Discomfort,SMHB00430,None,None,None
Hemorrhoid Bleeding,SMHB00430,0.040985,0.069693,1
Throat Tightness,SMHB00430,1.00E-06,1.90E-05,0.025561
Left Flank Pain,SMHB00430,None,None,None
 Alopecia Hereditaria,SMHB00430,None,None,None
Syncopal Episode,SMHB00430,None,None,None
Syncope,SMHB00430,None,None,None
Situational Syncope,SMHB00430,None,None,None
"Sports Injury, Nos",SMHB00430,None,None,None
Pharyngolaryngeal Pain,SMHB00430,8.10E-05,0.000805,1
Edema Pharynx,SMHB00430,0.000553,0.003809,1
Fever,SMHB00430,None,None,None
Abdomen Distention,SMHB00523,0.03204,0.060278,1
Bone Fracture,SMHB00523,0.037562,0.066353,1
Abdominal Tenderness,SMHB00523,0.00952,0.03422,1
Sprain,SMHB00523,0.0283,0.05602,1
 Physical Suffering,SMHB00523,0.000467,0.003305,1
Soft Tissue Injury,SMHB00523,8.70E-05,0.000842,1
Amenorrhea,SMHB00523,0.0283,0.05602,1
Abdominal Pain,SMHB00523,0.017242,0.045046,1
Caustic Injury,SMHB00523,0.0283,0.05602,1
"Amenorrhea, Postpartum",SMHB00523,0.0283,0.05602,1
Pain,SMHB00523,0.000769,0.004954,1
Buerger Disease,SMHB00523,0.00952,0.03422,1
Burning Pain,SMHB00523,0.000467,0.003305,1
Bone Pain,SMHB00523,0.018953,0.04715,1
 Splitting Pain,SMHB00523,0.000467,0.003305,1
Ligament Injury,SMHB00523,0.00952,0.03422,1
 Migratory Pain,SMHB00523,0.000467,0.003305,1
Ache,SMHB00523,0.001173,0.006899,1
 Bone Disorder,SMHB00523,0.04674,0.076544,1
Pain Radiating,SMHB00523,0.000467,0.003305,1
Crushing Pain,SMHB00523,0.000467,0.003305,1
Menopause,SMHB00523,0.000513,0.003585,1
General Abdominal Pain-Symptom,SMHB00523,0.00952,0.03422,1
Ligament Sprain,SMHB00523,0.00952,0.03422,1
Abdomen Distention,SMHB00437,None,None,None
Abdominal Tenderness,SMHB00437,0.019905,0.04715,1
 Physical Suffering,SMHB00437,None,None,None
Menstrual Cramp,SMHB00437,None,None,None
Abdominal Pain,SMHB00437,None,None,None
Hyperalgia,SMHB00437,None,None,None
Diarrhea,SMHB00437,None,None,None
Aplasia,SMHB00437,0.019905,0.04715,1
Pain,SMHB00437,None,None,None
Eating Disorder,SMHB00437,0.001148,0.006788,1
Burning Pain,SMHB00437,None,None,None
 Splitting Pain,SMHB00437,None,None,None
Enterocele,SMHB00437,None,None,None
Anorexia,SMHB00437,0.003732,0.017702,1
 Migratory Pain,SMHB00437,None,None,None
Hernia,SMHB00437,None,None,None
Ache,SMHB00437,None,None,None
Foreign Body,SMHB00437,None,None,None
 name Dilation,SMHB00437,None,None,None
Loss Of Appetite,SMHB00437,0.019905,0.04715,1
Bloating Feeling,SMHB00437,None,None,None
Pain Radiating,SMHB00437,None,None,None
Crushing Pain,SMHB00437,None,None,None
General Abdominal Pain-Symptom,SMHB00437,0.019905,0.04715,1
Decreased Appetite,SMHB00437,None,None,None
Abnormal Stools,SMHB00437,None,None,None
Haemorrhage Ant Chamber Eye,SMHB00438,None,None,None
Hemorrhage,SMHB00438,None,None,None
Bright Red Blood Per Rectum,SMHB00438,None,None,None
Hematuria,SMHB00438,None,None,None
Hematemesis,SMHB00438,None,None,None
"Melena
",SMHB00438,9.50E-05,0.000901,1
Contusion,SMHB00438,0.048823,0.078326,1
Bronchiectasis,SMHB00438,9.50E-05,0.000901,1
Urethra Hemorrhage,SMHB00438,None,None,None
Anorexia,SMHB00438,None,None,None
Carbuncle,SMHB00438,None,None,None
Blood Urine Present,SMHB00438,None,None,None
Uterine Bleeding,SMHB00438,0,6.00E-06,0.006354
Hemorrhage Postpartum,SMHB00438,0.006916,0.027968,1
Skin Ulcer(S),SMHB00438,None,None,None
 Stomach Discomfort,SMHB00438,None,None,None
Hemorrhoid Bleeding,SMHB00438,0.029574,0.057571,1
Lips Bleeding,SMHB00438,0.009952,0.034881,1
Metrorrhagia,SMHB00438,None,None,None
Vaginal Bleeding,SMHB00438,0.009952,0.034881,1
Mental Status Altered,SMHB00438,None,None,None
Mental Status Altered,SMHB00438,None,None,None
Menorrhagia,SMHB00438,0.001931,0.010387,1
Urine Rbc,SMHB00438,None,None,None
Menometrorrhagia,SMHB00438,0.001931,0.010387,1
Gastric Ulcer Bleeding,SMHB00438,0.009952,0.034881,1
 Physical Suffering,SMHB00439,None,None,None
Breast Disease,SMHB00439,None,None,None
Urologic Disease,SMHB00439,0.007775,0.030277,1
Dysuria,SMHB00439,3.00E-06,5.40E-05,0.084148
Blood Prolactin Decreased,SMHB00439,0.007775,0.030277,1
Pain,SMHB00439,None,None,None
Micturition Disorder,SMHB00439,None,None,None
Burning Pain,SMHB00439,None,None,None
 Splitting Pain,SMHB00439,None,None,None
Urination Frequency,SMHB00439,None,None,None
"Breast Disease, Endocrine",SMHB00439,None,None,None
 Migratory Pain,SMHB00439,None,None,None
Ache,SMHB00439,None,None,None
Prostatism,SMHB00439,0.003894,0.018222,1
Pain Radiating,SMHB00439,None,None,None
Crushing Pain,SMHB00439,None,None,None
Stillbirth,SMHB00522,0.003029,0.014919,1
Amenorrhea,SMHB00522,0.009063,0.033209,1
"Amenorrhea, Postpartum",SMHB00522,0.009063,0.033209,1
Buerger Disease,SMHB00522,0.003029,0.014919,1
Placental Disorder,SMHB00522,0.003029,0.014919,1
Abnormal Labor,SMHB00522,0.003029,0.014919,1
Fetal Mummification,SMHB00522,0.003029,0.014919,1
Menopause,SMHB00522,4.70E-05,0.000506,1
Intrauterine Fetal Demise,SMHB00522,0.003029,0.014919,1
Abdomen Distention,SMHB00440,None,None,None
Abdominal Tenderness,SMHB00440,0.016876,0.044684,1
 Physical Suffering,SMHB00440,None,None,None
Epigastric Pain,SMHB00440,None,None,None
Abdominal Pain,SMHB00440,0.016189,0.044013,1
Chest Pain,SMHB00440,None,None,None
Hyperalgia,SMHB00440,None,None,None
Diarrhea,SMHB00440,None,None,None
Crescendo Angina,SMHB00440,None,None,None
Pain,SMHB00440,None,None,None
Burning Pain,SMHB00440,None,None,None
 Splitting Pain,SMHB00440,None,None,None
Abdomen Discomfort,SMHB00440,8.60E-05,0.000842,1
Abdomen Bloating,SMHB00440,8.60E-05,0.000842,1
Angina Pectoris,SMHB00440,None,None,None
 Migratory Pain,SMHB00440,None,None,None
Ache,SMHB00440,None,None,None
 name Dilation,SMHB00440,1.00E-06,1.90E-05,0.025178
 Stomach Discomfort,SMHB00440,None,None,None
Pain Precordial,SMHB00440,4.00E-06,6.80E-05,0.110274
Bloating Feeling,SMHB00440,None,None,None
Pain Radiating,SMHB00440,None,None,None
Crushing Pain,SMHB00440,None,None,None
Tenesmus,SMHB00440,0.033474,0.061708,1
General Abdominal Pain-Symptom,SMHB00440,0.016876,0.044684,1
Pharyngolaryngitis,SMHB00560,0.024945,0.053056,1
Larynx,SMHB00560,1.70E-05,0.000224,0.433485
Stomatitis,SMHB00560,0.012549,0.039351,1
Laryngopharyngeal Dysaesthesia,SMHB00560,3.50E-05,0.000398,0.859648
Localized; Swelling,SMHB00560,3.50E-05,0.000398,0.859648
Oral Mucositis,SMHB00560,0.012549,0.039351,1
Laryngeal Pain,SMHB00560,0.012549,0.039351,1
Scabies,SMHB00560,0.037192,0.065886,1
Laryngeal Edema,SMHB00560,0.012549,0.039351,1
Smarting Of Skin,SMHB00560,0.012549,0.039351,1
Hematoma,SMHB00560,0.024945,0.053056,1
Skin Pain,SMHB00560,0.012549,0.039351,1
Skin Swelling,SMHB00560,0.024945,0.053056,1
Sarcoptic Red Mange,SMHB00560,0.037192,0.065886,1
Ache,SMHB00560,0.032687,0.060831,1
Pharynx Disease,SMHB00560,0.024945,0.053056,1
Tonsillitis,SMHB00560,0.024945,0.053056,1
Throat Tightness,SMHB00560,1.00E-06,1.40E-05,0.016936
Pharyngolaryngeal Pain,SMHB00560,1.00E-06,1.40E-05,0.016936
Aphthous Ulcer,SMHB00560,0.037192,0.065886,1
Edema Pharynx,SMHB00560,0.000453,0.003233,1
Oral Ulcer,SMHB00560,0.000898,0.005558,1
Sutton'S Disease,SMHB00560,0.012549,0.039351,1
Alopecia,SMHB00421,None,None,None
Alopecia Cicatrisata,SMHB00421,None,None,None
 Physical Suffering,SMHB00421,None,None,None
Rheumatism,SMHB00421,None,None,None
Muscle Weakness,SMHB00421,0.010351,0.03576,1
Hyperalgia,SMHB00421,None,None,None
Pain,SMHB00421,None,None,None
Arthritic Pains,SMHB00421,None,None,None
Burning Pain,SMHB00421,None,None,None
 Splitting Pain,SMHB00421,None,None,None
Measles,SMHB00421,None,None,None
 Migratory Pain,SMHB00421,None,None,None
Musculoskeletal Pain,SMHB00421,0.005187,0.022802,1
Ache,SMHB00421,None,None,None
 Alopecia Hereditaria,SMHB00421,None,None,None
Pain Radiating,SMHB00421,None,None,None
Crushing Pain,SMHB00421,None,None,None
Abdomen Distention,SMHB00649,0,0,3.00E-05
Right Flank Pain,SMHB00649,1.20E-05,0.000167,0.306036
Abdominal Tenderness,SMHB00649,0.018607,0.046865,1
 Physical Suffering,SMHB00649,0.003403,0.016389,1
Eye Pain,SMHB00649,0.001982,0.010635,1
Other Conjunctivitis Nos,SMHB00649,0.018607,0.046865,1
Flank Pain,SMHB00649,1.20E-05,0.000167,0.306036
Abdominal Pain,SMHB00649,0.022524,0.050621,1
Smarting Of Skin,SMHB00649,0.018607,0.046865,1
Hematoma,SMHB00649,0.036875,0.065606,1
Skin Pain,SMHB00649,0.018607,0.046865,1
Pain,SMHB00649,0.005488,0.023908,1
Burning Pain,SMHB00649,0.003403,0.016389,1
 Splitting Pain,SMHB00649,0.003403,0.016389,1
Skin Swelling,SMHB00649,0.036875,0.065606,1
 Migratory Pain,SMHB00649,0.003403,0.016389,1
Ache,SMHB00649,0.000712,0.004637,1
Sore Eye,SMHB00649,0.036875,0.065606,1
 name Dilation,SMHB00649,0.000116,0.001063,1
Left Flank Pain,SMHB00649,1.20E-05,0.000167,0.306036
Pain Radiating,SMHB00649,0.003403,0.016389,1
Crushing Pain,SMHB00649,0.003403,0.016389,1
General Abdominal Pain-Symptom,SMHB00649,0.018607,0.046865,1
Swelling Round Eyes: [periorbital Edema],SMHB00649,0.018607,0.046865,1
"Nasal Obstruction, Unilateral",SMHB00441,None,None,None
Sharp Headache,SMHB00441,None,None,None
"Nasal Obstruction, Bilateral",SMHB00441,None,None,None
Anosmia,SMHB00441,0.000263,0.002095,1
 Physical Suffering,SMHB00441,None,None,None
Heaviness Of Head,SMHB00441,0.032623,0.06074,1
"Headache, Periorbital",SMHB00441,None,None,None
Bilateral Headache,SMHB00441,None,None,None
Ocular Headache,SMHB00441,None,None,None
 Airway Obstruction Nasal,SMHB00441,None,None,None
Headache Throbbing,SMHB00441,None,None,None
Hyperalgia,SMHB00441,None,None,None
Radiculopathy,SMHB00441,0.016443,0.044013,1
Pterygium,SMHB00441,None,None,None
Rhinorrhea,SMHB00441,None,None,None
Vidian Neuralgia,SMHB00441,0.048543,0.078022,1
Nasal Congestion,SMHB00441,None,None,None
Orthostatic Headache,SMHB00441,None,None,None
Disorder Of Smell,SMHB00441,0.000263,0.002095,1
Nerve Root Disorder,SMHB00441,0.016443,0.044013,1
